               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,            0.034077,            0.020409,            0.013665,                   0,                   0,                   0,                   0,                   0,           0.0038156,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.047218,             0.02288,            0.016087,                   0,                   0,                   0,                   0,                   0,           0.0037907,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.050462,            0.021766,            0.014088,                   0,                   0,                   0,                   0,                   0,           0.0037907,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.049799,            0.020578,            0.012068,                   0,                   0,                   0,                   0,                   0,           0.0036326,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.045585,            0.025938,            0.015972,                   0,                   0,                   0,                   0,                   0,           0.0034033,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.045658,            0.022159,            0.011879,                   0,                   0,                   0,                   0,                   0,           0.0032649,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.044834,            0.024689,            0.011902,                   0,                   0,                   0,                   0,                   0,           0.0032649,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.041247,            0.023181,            0.011415,                   0,                   0,                   0,                   0,                   0,           0.0030553,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.045487,            0.026575,              0.0132,                   0,                   0,                   0,                   0,                   0,           0.0028626,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.031291,            0.017847,            0.012082,                   0,                   0,                   0,                   0,                   0,           0.0031906,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.037522,            0.020986,            0.011633,                   0,                   0,                   0,                   0,                   0,           0.0031906,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.035357,            0.018813,           0.0098238,                   0,                   0,                   0,                   0,                   0,           0.0032106,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.037987,            0.022878,           0.0082345,                   0,                   0,                   0,                   0,                   0,           0.0035867,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.037086,            0.017857,            0.011141,                   0,                   0,                   0,                   0,                   0,           0.0035008,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.039021,            0.020066,            0.015016,                   0,                   0,                   0,                   0,                   0,           0.0035008,                   0,            0.006733,            0.006733,            0.006733
                 101,              0.0428,            0.024663,           0.0088773,                   0,                   0,                   0,                   0,                   0,           0.0035655,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.041569,             0.01859,           0.0073407,                   0,                   0,                   0,                   0,                   0,           0.0034584,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.041972,            0.026643,            0.010052,                   0,                   0,                   0,                   0,                   0,           0.0036184,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.047936,            0.019648,             0.01472,                   0,                   0,                   0,                   0,                   0,           0.0036184,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.045379,            0.021302,           0.0066945,                   0,                   0,                   0,                   0,                   0,           0.0035262,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.044439,            0.017404,            0.012657,                   0,                   0,                   0,                   0,                   0,           0.0033977,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.039502,            0.024418,           0.0097761,                   0,                   0,                   0,                   0,                   0,           0.0033769,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.041118,            0.024174,           0.0090362,                   0,                   0,                   0,                   0,                   0,           0.0033769,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.041502,              0.0214,             0.01069,                   0,                   0,                   0,                   0,                   0,           0.0030259,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.039411,            0.021652,           0.0075541,                   0,                   0,                   0,                   0,                   0,           0.0030255,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.040057,            0.017137,             0.01377,                   0,                   0,                   0,                   0,                   0,           0.0032561,                   0,             0.00637,             0.00637,             0.00637
